,thermal_stress,air_pollution,green_roof
543,3,3,1
545,3,3,1
546,3,3,1
548,3,3,0
549,3,3,1
550,3,3,1
551,3,3,0
552,3,3,0
558,3,2,1
559,3,2,0
560,3,2,0
561,3,2,0
562,3,2,0
563,3,2,1
565,3,2,0
566,3,2,1
568,3,2,0
569,3,2,1
570,3,2,1
571,3,2,0
573,3,2,1
574,3,2,0
575,3,2,1
576,3,2,1
577,3,2,1
578,3,2,1
579,3,2,1
580,3,2,0
581,3,2,0
582,3,2,1
583,3,2,1
585,3,2,0
587,3,2,0
588,3,2,1
589,3,2,0
590,3,2,1
591,3,2,0
592,3,2,0
593,3,2,0
594,3,2,1
595,3,2,1
596,3,2,1
597,3,2,0
598,3,2,1
599,3,2,1
600,3,2,1
601,3,2,1
602,3,2,0
603,3,2,1
604,3,2,1
605,3,2,0
606,3,2,1
607,3,2,1
609,3,2,1
613,3,2,0
614,3,2,0
615,3,2,0
616,3,2,0
617,3,2,0
618,3,2,1
619,3,2,0
620,3,2,1
621,3,2,0
622,3,2,0
623,3,2,0
624,3,2,0
625,3,2,1
626,3,2,0
627,3,2,0
628,3,2,1
630,3,2,0
631,3,2,0
632,3,2,0
633,3,2,0
634,3,2,0
635,3,2,0
636,3,2,0
637,3,2,0
638,3,2,0
639,3,2,0
640,3,2,0
641,3,2,0
642,3,2,1
644,3,2,0
645,3,2,0
646,3,2,0
647,3,2,0
648,3,2,0
649,3,2,0
650,3,2,1
651,3,2,1
652,3,2,1
653,3,2,1
654,3,2,0
655,3,2,0
656,3,2,1
657,3,2,1
658,3,2,1
659,3,2,1
660,3,2,1
661,3,2,1
662,3,2,0
663,3,2,1
664,3,2,0
665,3,2,0
666,3,2,1
667,3,2,1
668,3,2,1
669,3,2,1
670,3,2,1
671,3,2,1
673,3,2,1
675,3,2,1
676,3,2,1
680,3,2,0
683,3,2,0
684,3,2,0
685,3,2,1
686,3,2,1
687,3,2,1
688,3,2,1
689,3,2,0
690,3,2,0
691,3,2,0
692,3,2,0
693,3,2,0
694,3,2,0
695,3,2,0
707,3,2,0
708,3,2,0
709,3,2,0
710,3,2,0
711,3,2,0
712,3,2,0
713,3,2,0
714,3,2,0
715,3,2,1
716,3,2,1
717,3,2,0
718,3,2,0
719,2,2,1
720,2,2,1
721,2,2,1
722,3,3,1
723,3,3,0
724,2,3,1
725,2,3,1
726,2,3,1
727,2,3,0
728,2,3,1
729,2,3,0
730,2,3,1
731,2,2,1
732,2,2,1
733,2,2,1
734,2,2,0
735,2,2,1
736,2,2,1
737,2,2,1
739,2,2,1
740,2,2,1
741,2,2,1
742,2,3,1
744,2,3,1
745,2,3,1
746,2,3,1
747,2,3,1
748,2,3,1
749,2,2,1
750,2,2,1
751,2,2,1
752,2,2,1
753,2,2,0
754,2,2,0
755,2,2,0
756,2,2,1
757,3,3,1
758,3,3,1
759,2,3,1
760,2,3,1
761,2,3,1
762,2,3,1
763,2,3,0
764,2,3,1
765,2,3,0
766,2,3,1
767,2,3,1
768,2,3,1
769,2,3,1
770,2,3,0
771,2,3,0
